PaCMAP_X,PaCMAP_Y
0.77893305,-8.57822
3.728296,-6.4858685
1.7475917,-7.832475
4.2549295,-6.8661413
1.9487233,-7.709777
0.16295066,-8.789147
-0.3337612,-7.5011497
3.0190694,-6.779934
3.8803499,-5.9965205
-3.1559632,-6.200081
-6.3087516,-4.983792
-1.2027872,-6.902194
-0.49297372,-7.9778366
-1.4718069,-8.184212
0.9114015,-8.000885
0.5776986,-8.169144
2.5606868,-6.534033
1.0569935,-6.911934
0.33663046,-7.1271744
-2.935573,-7.143099
-4.1387596,-6.400847
-1.9687412,-7.239889
-2.578991,-7.0581036
1.8930628,-6.331892
2.601746,-6.94682
-2.4388928,-6.0670524
-0.03878436,-8.041957
0.7600614,-7.5372815
0.8303703,-7.014573
-2.9262493,-5.9415674
-1.6590077,-8.168942
0.6362049,-7.584705
1.1509638,-7.172662
3.4689271,-6.7343745
2.392039,-6.8078732
-2.4920266,-6.201915
0.89764065,-6.7683005
0.20361526,-8.142144
-1.4675672,-8.155538
-0.04615712,-8.234635
-0.005810995,-8.194426
-0.4186026,-8.283528
1.7650547,-7.8258367
2.6552656,-7.787807
2.987345,-7.672294
1.96804,-7.930871
1.7721926,-7.9961877
2.9021642,-7.700083
10.00318,-3.7122717
4.056706,-7.5979967
0.5788044,-8.165839
-0.049019095,-8.581814
0.093163684,-8.533824
-1.1275003,-8.220577
-0.35292783,-8.475349
4.4710894,-2.8145173
-1.6468352,-6.731973
0.16289295,-7.508964
2.5439215,-6.820804
-3.2968144,-6.879917
-2.1023057,-7.229661
-2.8184583,-7.248536
0.0497454,-8.128372
3.8297007,-6.9632616
0.8772043,-7.012518
-0.17822708,-8.301456
3.9538455,-7.5729203
2.6309664,-7.8602524
0.6309419,-7.2824564
0.22811025,-7.9721594
-1.5306461,-6.508377
-3.3752592,-6.759792
1.5446267,-6.6033463
-0.8603864,-6.494557
3.8939383,-6.6901326
4.275143,-6.951946
0.5892121,-7.111479
-1.2721645,-6.521857
-1.4684291,-7.868927
-0.5465325,-7.906296
2.2089381,-7.8444204
-0.32074317,-8.622726
-0.8829811,-8.491317
-1.647938,-8.139022
-1.6829312,-8.246065
-4.1636715,-6.356717
-1.591049,-7.0578012
0.21193694,-7.979681
6.7198777,-5.6354456
-0.29639623,-6.0553293
-3.566708,-6.2799654
-3.1518567,-6.422068
-1.3348976,-6.7952027
0.77643454,-5.870434
2.1404054,-6.067701
3.0363796,-4.5485864
2.4445767,-6.0845594
1.4724698,-5.278922
1.6566573,-6.291004
1.2924652,-7.686864
1.4657495,-6.7722282
2.2092063,-6.4305215
2.9996574,-4.465457
1.2653017,-5.4901786
0.7035191,-6.442658
1.5862788,-5.983954
1.4687973,-5.211561
-1.7106699,-6.7440486
2.0318491,-6.779677
-4.0160804,-5.1450043
-6.991681,-5.526001
-1.74883,-8.478202
-1.0384524,-8.234535
0.34749094,-6.6711726
-0.6299615,-8.189778
-2.3526726,-6.200338
-1.5022945,-6.662931
10.784674,-1.7127157
1.6900353,-6.026231
3.2669113,-4.87044
5.60721,4.26058
0.8729571,-8.465651
0.052415997,-8.613869
1.2423348,-7.7349944
3.5155735,-5.779836
-0.17105584,-7.65752
0.8912305,-7.3822904
1.4761972,-7.742995
2.1259105,-6.876761
-0.47109726,-7.2083597
2.4243126,-4.7834783
3.9920256,-4.161773
3.2320857,-4.775204
5.0337296,-3.7137225
3.285513,-5.9581537
2.4411535,-7.404488
3.9818802,-4.29409
0.7328943,1.7838386
0.6519839,2.4111218
1.3701334,-0.69181025
1.3517191,-4.125082
6.252168,-2.112235
-1.4478599,8.969488
-1.4478878,8.184332
1.1967181,4.9784155
-3.4561055,8.504773
-2.7696934,8.550427
0.46074727,7.2068477
