PaCMAP_X,PaCMAP_Y,Label
1.7764294,3.4758108,1
2.5144434,-6.7780867,0
0.9010578,-8.20783,0
0.8575582,-7.816409,0
1.7329531,-7.926674,0
-0.09575201,-7.18893,0
1.1764864,-8.508433,0
1.8654243,-7.602246,0
0.8700838,-7.785737,0
1.0357872,-7.5794363,0
0.91777587,-7.6171618,0
1.054885,-8.320661,0
0.77893305,-8.57822,0
3.728296,-6.4858685,0
1.7475917,-7.832475,0
4.2549295,-6.8661413,0
1.9487233,-7.709777,0
0.16295066,-8.789147,0
-0.3337612,-7.5011497,0
3.0190694,-6.779934,0
3.8803499,-5.9965205,0
-3.1559632,-6.200081,0
-6.3087516,-4.983792,0
-1.2027872,-6.902194,0
-0.49297372,-7.9778366,0
-1.4718069,-8.184212,0
0.9114015,-8.000885,0
0.5776986,-8.169144,0
2.5606868,-6.534033,0
1.0569935,-6.911934,0
0.33663046,-7.1271744,0
-2.935573,-7.143099,0
-4.1387596,-6.400847,0
-1.9687412,-7.239889,0
-2.578991,-7.0581036,0
1.8930628,-6.331892,0
2.601746,-6.94682,0
-2.4388928,-6.0670524,0
-0.03878436,-8.041957,0
0.7600614,-7.5372815,0
0.8303703,-7.014573,0
-2.9262493,-5.9415674,0
-1.6590077,-8.168942,0
0.6362049,-7.584705,0
1.1509638,-7.172662,0
3.4689271,-6.7343745,0
2.392039,-6.8078732,0
-2.4920266,-6.201915,0
0.89764065,-6.7683005,0
0.20361526,-8.142144,0
-1.4675672,-8.155538,0
-0.04615712,-8.234635,0
-0.005810995,-8.194426,0
-0.4186026,-8.283528,0
1.7650547,-7.8258367,0
2.6552656,-7.787807,0
2.987345,-7.672294,0
1.96804,-7.930871,0
1.7721926,-7.9961877,0
2.9021642,-7.700083,0
10.00318,-3.7122717,0
4.056706,-7.5979967,0
0.5788044,-8.165839,0
-0.049019095,-8.581814,0
0.093163684,-8.533824,0
-1.1275003,-8.220577,0
-0.35292783,-8.475349,0
4.4710894,-2.8145173,0
-1.6468352,-6.731973,0
0.16289295,-7.508964,0
2.5439215,-6.820804,0
-3.2968144,-6.879917,0
-2.1023057,-7.229661,0
-2.8184583,-7.248536,0
0.0497454,-8.128372,0
3.8297007,-6.9632616,0
0.8772043,-7.012518,0
-0.17822708,-8.301456,0
3.9538455,-7.5729203,0
2.6309664,-7.8602524,0
0.6309419,-7.2824564,0
0.22811025,-7.9721594,0
-1.5306461,-6.508377,0
-3.3752592,-6.759792,0
1.5446267,-6.6033463,0
-0.8603864,-6.494557,0
3.8939383,-6.6901326,0
4.275143,-6.951946,0
0.5892121,-7.111479,0
-1.2721645,-6.521857,0
-1.4684291,-7.868927,0
-0.5465325,-7.906296,0
2.2089381,-7.8444204,0
-0.32074317,-8.622726,0
-0.8829811,-8.491317,0
-1.647938,-8.139022,0
